.	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考				
9	私を見て（私を見てリスト）画面　/clookatme/list		ENG1ST-2039	NTQ			仕掛中									
		実装		NTQ	73.0h		完了	04/01	04/01	04/15	04/15					
		テスト仕様書作成		NTQ	72.0h		完了	04/05	04/05	04/22	04/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1651118445881879?thread_ts=1650878141.331639&cid=C02BYE052ES				
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ	12.0h		未着手									
		機能テスト実施		NTQ	42.0h		完了	04/18	04/18	04/29	04/28					
		リポジトリクラス削除対応		NTQ	1.0h		完了	05/03	05/03	05/03	05/03					20
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
8	適性検査受験者管理　/cef1g		ENG1ST-2040	NTQ			仕掛中									
		実装		NTQ	73.0h	73.0h	完了	04/01	04/01	04/15	04/15					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/05	04/05	04/18	04/18	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650275406865269				
		テスト仕様書レビュー		宗	4.0h	16.0h	完了	04/28	04/28	05/09	05/09	5/10 NTQさん側に連絡済（FB対応有）				
		テスト仕様書FB対応		NTQ	12.0h	0.1h	完了	05/10	05/10	05/12	05/12	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652322976171919?thread_ts=1650275406.865269&cid=C02BYE052ES				
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/18	04/18	04/22	04/20					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/03	05/03	05/03	05/03					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	04/28	04/29	05/04					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
16	適性検索 受検依頼　/cef1g/exam_request		ENG1ST-2041	NTQ			仕掛中									
		実装		NTQ	73.0h	73.0h	完了	04/08	04/08	04/21	04/19					
