	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
		テスト仕様書（＊＊＊さんとのメッセージ）作成		山下	24.0h	76.0h	完了	05/16	05/16	05/27	05/27				
		テスト仕様書（メッセージリスト）レビュー		宗	4.0h		未着手								
		テスト仕様書（＊＊＊さんとのメッセージ）レビュー		宗	4.0h		未着手								
		機能テスト実施			16.0h		未着手								
		受入			4.0h		未着手								
	"採用計画　学生番号: ****の見極めシート画面
/cef1g/sakura/<student.ID>
/cef1g/ibj/<student.ID>
/cef1g/premiumgroup/<student.ID>
/cef1g/wanbishi/<student.ID>
/cef1g/iplug/<student.ID>"		ENG1ST-1932	i-plug			保留					SHIFTさんに振るのが難しそうなため、一旦取り下げた。			
		実装		三田	40.0h		保留					優先順位が低くなったので保留			
		テスト仕様書作成		SHIFT	24.0h		保留					一旦保留			
		テスト仕様書レビュー		三田	4.0h		保留								
		コードレビュー			4.0h		保留								
		機能テスト実施		三田	16.0h		保留								
		リリース準備		三田			保留								
		リリース					保留								
	"採用計画　PR資料の設定画面
/cprof/companypr"		ENG1ST-1552	NTQ			完了								
		実装		NTQ	40.0h	40.0h	完了	11/19	11/25	11/19	11/26				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	11/19	11/25	11/19	11/26				
		コードレビュー		島	8.0h	8.0h	完了	11/29	11/29	12/03	12/03				
		FB対応		NTQ			完了	02/11	02/11	02/15	02/15				
		FB返信		島	2.0h	2.0h	完了	02/21	02/21	02/21	02/21	"ボールを返す
https://iplug.slack.com/archives/C02BYE052ES/p1645437927960289?thread_ts=1644486407.855949&cid=C02BYE052ES"			
		FB対応レビュー		島	1.0h	1.0h	完了	02/21	02/21	02/25	03/01	https://iplug.slack.com/archives/C02BYE052ES/p1646125621630449?thread_ts=1644486407.855949&cid=C02BYE052ES			
		受入		島	2.0h	2.0h	完了	12/06	　3/1	12/08	　3/8				
		リリース準備		島	0.5h	0.5h	完了	03/27	03/27	03/27	03/27				
		リリース					完了		03/28		03/28				
	"採用計画　オファー文作成
メッセージテンプレート画面
/cmsgtemplate"		ENG1ST-1553	NTQ			仕掛中								
		実装		NTQ	40.0h	40.0h	完了	11/23	11/23	12/06	12/06				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	11/26	11/29	11/25	12/07				
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	11/26	11/25	11/29	12/07				
		コードレビュー		島	8.0h	8.0h	完了	12/09	12/09	12/10	01/27	NTQ対応中			
		FB確認		島	2.0h	2.5h	完了	02/08	02/08	02/15	02/08	"FB返信
https://iplug.slack.com/archives/C02BYE052ES/p1644316304683749?thread_ts=1641436031.003400&cid=C02BYE052ES"			
		FB対応		NTQ			完了	02/08	02/08	02/11	02/11				
		FB確認		島	0.5h	0.5h	完了	02/21	02/21	02/21	02/21	"返信
https://iplug.slack.com/archives/C02BYE052ES/p1645418811607639?thread_ts=1641436031.003400&cid=C02BYE052ES
+ コンフリクトしているので解消の依頼"			
		FB対応レビュー		島	1.0h	1.0h	完了	03/01	03/01	03/01	03/01	https://iplug.slack.com/archives/C02BYE052ES/p1646118799057479?thread_ts=1641436031.003400&cid=C02BYE052ES			
		FB対応		NTQ			完了	03/01	03/01	03/04	03/07	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647310924796249?thread_ts=1641436031.003400&cid=C02BYE052ES			
		FB対応レビュー		島	4.0h	2.0h	完了	05/10	05/10	05/10	05/10				
		FB確認		NTQ	2h	2h	完了	05/10	05/10	05/10	05/10	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652234558481649?thread_ts=1652163716.764459&cid=C02BYE052ES			
		FB対応レビュー		島	2h	0.15h	完了	05/25	05/25	05/25	05/25	"https://iplug.slack.com/archives/C02BYE052ES/p1653444930104159?thread_ts=1641436031.003400&cid=C02BYE052ES
手元でコンフリクト発生　逆マージ依頼"			
		FB対応確認（コメント確認）		島	2.0h	4.0h	完了	06/07	06/07	06/07	06/07	"https://iplug.slack.com/archives/C02BYE052ES/p1654502217629939?thread_ts=1652163716.764459&cid=C02BYE052ES

島：Note
返答
https://iplug.slack.com/archives/C02BYE052ES/p1654570690186289?thread_ts=1652163716.764459&cid=C02BYE052ES
https://iplug.slack.com/archives/C02BYE052ES/p1654577643460519?thread_ts=1652163716.764459&cid=C02BYE052ES
コードを俯瞰したところ、他に特に懸念点なし（のため、こちらFBが終わり次第受け入れに入る想定）

島：追記
xssまわりでちょっと挙動が怪しい？"			
		FB対応		NTQ	4.0h	6.0h	完了	06/07	06/07	06/09	06/09	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1654824689112989?thread_ts=1652163716.764459&cid=C02BYE052ES			
		FB対応レビュー		島			未着手								
		受入		島	2.0h		未着手								
	"採用計画　IP接続制限設定画面
/coptionsettings/ip_connection_control"		ENG1ST-1554	NTQ			完了								
		実装		NTQ	40.0h	40.0h	完了	11/30	12/01	11/30	12/16				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	11/30	12/01	11/30	12/16				
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	11/30	12/30	11/01	12/16				
		コードレビュー		島	8.0h	2.0h	完了	01/17	01/17	01/17	01/19	"実績工数2022/01/17~
1/19 ボール投げ"			
		受入		島	2.0h	3.0h	完了	01/21	01/31	01/28	01/31				
		不具合対応		島	0.5h	0.5h	完了	02/02	02/02	02/15	02/10				
		コンフリクト解消		NTQ			完了	02/10		02/16	02/10				
		コンフリクト対応レビュー		島	1.0h	1.0h	完了	02/17	02/10	02/21	02/10	"rootにマージ
https://iplug.slack.com/archives/C01RZPZQJPM/p1644484374861549?thread_ts=1644456357.505999&cid=C01RZPZQJPM"			
		FB対応		NTQ			完了	02/02	02/02	02/15					
		受入		島	2.0h	3.0h	完了	01/21	01/31	01/28	01/31				
		リリース準備		島	0.5h	0.5h	完了	03/27	03/27	03/27	03/27				
	"採用計画　選考フェーズ設定画面
/csettings/phase"		ENG1ST-1555	NTQ			完了								
		実装		NTQ	40.0h	40.0h	完了	12/06	12/06	12/30	12/30				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	12/02	12/02	12/03	12/17				
		コードレビュー		島	2.0h	3.5h	完了	01/27	01/27	01/27	01/27	FB返信　https://iplug.slack.com/archives/C02BYE052ES/p1643267904190800			
		FB返信		島	1.0h	1.5h	完了	02/08	02/08	02/08	02/08	"FB返信
https://iplug.slack.com/archives/C02BYE052ES/p1644294101866209?thread_ts=1642589473.067700&cid=C02BYE052ES"			
		FB確認		島	1.0h	1.0h	完了	02/15	02/15	02/15	02/15	"FB返答
https://iplug.slack.com/archives/C02BYE052ES/p1644907667972839?thread_ts=1642589473.067700&cid=C02BYE052ES"			
		FB対応		NTQ			完了	02/15	02/15	02/16	03/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646382455019749?thread_ts=1642589473.067700&cid=C02BYE052ES			
		FB返信		島	1.0h	1.5h	完了		03/08		03/08				
		受入		島	2.0h	1.0h	完了	01/17	03/08	01/19	03/08				
		リリース準備		島	0.5h	0.5h	完了	03/27	03/27	03/27	03/27				
	"かんたんオファー作成ガイド画面
/cofferguide"		ENG1ST-1556	NTQ			完了								
		実装		NTQ	40.0h	40.0h	完了	12/13	12/08	01/18	01/18				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	12/06	12/03	12/07	12/27				
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	12/08	01/04	12/15	01/21				
		テスト実施		NTQ	16.0h	16.0h	完了	12/17	12/17	12/31	01/05				
		コードレビュー		島	1.0h	7.0h	完了	01/17	01/17	01/19	01/20	実績工数2022/01/17~			
		受入		島	1.0h	3.0h	完了	01/17	01/17	01/19	01/28	確認中に不具合発見 1/20			
		リリース準備		島	0.5h	0.5h	完了	03/27	03/27	03/27	03/27				
	"採用計画　オファー文作成
オファー初期設定画面
/csettings/offer"		ENG1ST-1557	NTQ			仕掛中								
		実装		NTQ	40.0h	40.0h	完了	12/13	12/09	01/17	01/17				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	12/22	12/22	12/27	01/07				
		テスト実施		NTQ	16.0h	16.0h	完了	01/11	01/11	01/17	01/17				
		コードレビュー		島	3.0h	4.5h	完了	01/18	01/21	01/20	01/26				
		FB返答		島	0.5h	0.5h	完了	01/28	01/28	01/28	01/28	ボールを返す　https://iplug.slack.com/archives/C02BYE052ES/p1643361753748269?thread_ts=1643180481.175200&cid=C02BYE052ES			
		FB対応		NTQ	4.0h	4.0h	完了	01/30	01/30	02/10	02/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1645662971322209?thread_ts=1643180481.175200&cid=C02BYE052ES			
		NTQ側単体テスト修正		NTQ	4.0h	4.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		FB対応レビュー		島	1.0h	2.5h	完了	05/25	05/25	05/26	05/26	https://iplug.slack.com/archives/C02BYE052ES/p1653559222502759?thread_ts=1643180481.175200&cid=C02BYE052ES			
		コンフリクト対応、先に確認依頼がきている分のコメントなど確認		島	6.0h	6.0h	完了	06/01	06/01	06/02	06/02				
		FB対応		NTQ	12.0h	10.0h	完了	05/25	05/25	06/06	06/06				
		FB対応レビュー		島	2h	3h	完了	06/07	06/07	06/08	06/08	https://iplug.slack.com/archives/C02BYE052ES/p1654672568787739?thread_ts=1643180481.175200&cid=C02BYE052ES			
		FB対応		NTQ	3h	3.0h	完了	06/10	06/10	06/14	06/14				
		FB対応レビュー		島			未着手								
		機能テスト仕様書修正		猿渡								"Quangさんから島さんに依頼済み
QnA 214：https://iplug-ntq.slack.com/archives/C02BYE052ES/p1653959714962049?thread_ts=1643180481.175200&cid=C02BYE052ES"			
		機能テスト実施（最新テスト仕様取り込み）		NTQ	4.0h	4.0h	完了	06/14	06/14	06/14	06/14				
		受入		島	4.0h		未着手					島: メモ。isOFBまわりの判定は受け入れ時、自分の方でも見ておく			
	ラベル設定画面 /csettings/label		ENG1ST-1558	NTQ			仕掛中								
		実装		NTQ	40.0h	40.0h	完了	12/20	12/21	12/24	12/29				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	01/04	01/04	01/06	01/13				
		テスト実施		NTQ	16.0h	16.0h	完了	12/13	12/13	12/15	01/12				
		コードレビュー		島	3.0h	3.0h	完了	01/21	01/27	01/27	01/27	ボールを返す　https://iplug.slack.com/archives/C02BYE052ES/p1643281868197800			
		FB確認		島	1.0h	1.5h	完了	02/10	02/10	02/10	02/10	"FB返信
https://iplug.slack.com/archives/C02BYE052ES/p1644464282216259?thread_ts=1643281868.197800&cid=C02BYE052ES"			
		FB対応		NTQ	1.0h	1.0h	完了	02/10	02/10	02/14	02/14				
		FB確認		島	0.5h	0.5h	完了	02/14	02/14	02/14	02/14	https://iplug.slack.com/archives/C02BYE052ES/p1644838056058139?thread_ts=1643281868.197800&cid=C02BYE052ES			
		FB対応		NTQ	4.0h	4.0h	完了	02/14	02/14	02/15	03/04	変更確認：https://iplug-ntq.slack.com/archives/C02BYE052ES/p1645669345061279?thread_ts=1643281868.197800&cid=C02BYE052ES			
		FB確認		島	1.0h	0.0h	完了	02/16	03/04	02/18	03/04	https://iplug.slack.com/archives/C02BYE052ES/p1646390463206199?thread_ts=1643281868.197800&cid=C02BYE052ES			
		質問内容確認、回答		島	2h	2h	完了	04/07	04/07	04/07	04/07	"https://iplug.slack.com/archives/C02BYE052ES/p1646708303757199?thread_ts=1643281868.197800&cid=C02BYE052ES

いったん回答
https://iplug.slack.com/archives/C02BYE052ES/p1649296974803739?thread_ts=1643281868.197800&cid=C02BYE052ES
もし追記で確認必要そうなら随時対応
https://iplug.slack.com/archives/C02BYE052ES/p1649297264123169?thread_ts=1643281868.197800&cid=C02BYE052ES"			
		機能テスト仕様書修正（最新案件仕様取り込み）		山下	4.0h	8.0h	完了	04/28	04/28	04/28	04/28	"以下にある通り、他チームの案件の対応が機能テスト仕様書に反映されておらず、この仕様書を作成したのが国内であるため、国内で仕様書の修正を行う。
https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646708303757199?thread_ts=1643281868.197800&cid=C02BYE052ES

※レビュー効率上げるように、レビュー依頼時は修正分赤字にしておくとか、工夫すること

--------
20200428
修正分は背景青にして備考に20220428追加分と記載しています。
"			
		機能テスト仕様書修正（最新案件仕様取り込み）レビュー		宗	2.0h	4.0h	完了	05/18	05/18	05/18	05/18	5/18 FB対応なし			
		コンフリクト解消を安全にやる方法の提案		NTQ	2.0h	2.0h	完了	04/12	04/12	04/13	04/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649842884950729?thread_ts=1643281868.197800&cid=C02BYE052ES			
		FB対応		NTQ	5.0h		完了	05/10	05/10	05/17	05/17	コンフリクトの解消＋FB対応			
		機能テスト実施（最新案件仕様取り込み）		NTQ	8.0h		完了	05/23	05/23	05/30	05/30				
		FB対応レビュー		島	4.0h		未着手								
		受入		島	4.0h		未着手								
	"通知設定 画面
/cprof/setting/"		ENG1ST-1696	NTQ			仕掛中								
		実装		NTQ	73.0h	40.0h	完了	01/07	01/07	01/13	01/13				
		テスト仕様書作成		NTQ	72.0h	24.0h	完了	01/04	01/04	01/18	01/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1642075083073500			
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	01/13	01/17	01/14	01/14				
		テスト仕様書FB		NTQ	12.0h	16.0h	完了	01/17	01/17	01/24	01/24				
		機能テスト実施		NTQ	42.0h	16.0h	完了	01/18	02/10	01/21	03/02	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646288329890029			
		NTQ側単体テスト修正		NTQ	2.0h	2.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		コードレビュー		島	16.0h	5h	完了	05/26	05/27	05/27	05/27	https://iplug.slack.com/archives/C02BYE052ES/p1653639014478329?thread_ts=1646288329.890029&cid=C02BYE052ES			
		コードレビューFB対応		NTQ	14.0h	14.0h	完了	05/30	05/30	06/02	06/02	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1654177536631269?thread_ts=1646288329.890029&cid=C02BYE052ES			
		FB対応確認		島	3h	4h	完了	06/06	06/06	06/06	06/06				
		FB対応		NTQ	12.0h	3.0h	完了	06/08	06/08	06/14	06/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1655092890468489?thread_ts=1646288329.890029&cid=C02BYE052ES			
		テスト仕様書修正		NTQ	1.0h	1.0h	完了	06/08	06/08	06/13	06/13				
		FB対応確認		島	2.0h	3.5h	完了	06/16	06/17	06/17	06/17				
		FB対応		NTQ			未着手								
		機能テスト実施（最新分取り込み）		NTQ			未着手								
		受入		島	4.0h		未着手								
	"OfferBox利用規約画面
/company/terms"		ENG1ST-1631	NTQ			仕掛中								
		実装		NTQ	21.0h	27.3h	完了	01/14	01/14	01/18	01/20				
		テスト仕様書作成		NTQ	32.0h	24.0h	完了	01/13	01/13	01/20	01/20				
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	01/21	01/19	01/24	01/19				
		機能テスト実施		NTQ	14.0h	16.0h	完了	01/21	02/10	01/26	02/21	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1645517639926439			
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	6.0h		未着手								
		受入		島	4.0h		未着手								
	" OfferBoxお問い合わせフォーム　送信完了画面
/company/contactdone"		ENG1ST-1641	NTQ			仕掛中								
		実装		NTQ	21.0h	27.0h	完了	01/14	01/14	01/18	02/16				
		テスト仕様書作成		NTQ	32.0h	24.0h	完了	01/14	01/14	01/24	01/14				
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	01/25	03/14	01/26	03/14				
		テスト仕様書FB		NTQ	4.0h	4.0h	完了	03/25	03/25	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649243110629529?thread_ts=1642636900.070500&cid=C02BYE052ES			
		テスト仕様書FB確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08				
		機能テスト実施		NTQ	14.0h	9.0h	完了	02/16	02/16	03/11	03/11	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646981920196679			
		コードレビューFB対応		島	16.0h	1.0h	完了	02/11	03/25	02/14	03/25	"https://iplug.slack.com/archives/C02BYE052ES/p1648205759630479
島　Note: [ENG1ST-1646] 資料ダウンロードと多くの内容が重複している（のでそこまで時間要せず）"			
		コードレビューFB対応		NTQ	6.0h	4.0h	完了	04/01	04/01	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649043342872029?thread_ts=1648205759.630479&cid=C02BYE052ES			
		FB対応確認		島	0.5h		未着手								
		受入		島	4.0h		未着手								
	"選考管理リスト画面
/cofferlist"		ENG1ST-1811	NTQ			仕掛中								
		実装		NTQ	177.0h	196.0h	完了	01/04	01/04	03/25	03/25				
		テスト仕様書作成		NTQ	248.0h	240.0h	完了	12/29	12/29	01/10	01/04				
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	01/12	01/12	01/14	01/14				
		テスト仕様書FB		NTQ	24.0h	10.0h	完了	02/01	02/01	04/08	04/08	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649423235898769			
		テスト仕様書FBレビュー		宗	4.0h	32.0h	完了	04/13	04/13	04/18	04/18				
		機能テスト実施		NTQ	120.0h	234.0h	完了	01/11	01/11	04/08	04/08	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649423867943939			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	26.0h		未着手								
		受入		島	4.0h		未着手								
	"OfferBoxお問い合わせフォーム画面
/company/contact "		ENG1ST-1636	NTQ			仕掛中								
		実装		NTQ	21.0h	14.0h	完了	01/12	01/12	01/19	02/16				
		テスト仕様書作成		NTQ	32.0h	10.0h	完了	01/12	01/12	01/20	01/20				
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	01/21	03/14	01/24	03/14				
		テスト仕様書FB対応		NTQ	4.0h	8.0h	完了	01/24	03/23	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649242666703589?thread_ts=1643004555.103300&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様書レビュープロセス終了			
		機能テスト実施		NTQ	14.0h	14.0h	完了	01/24	02/25	01/27	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648732915736719			
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	6.0h		未着手								
		受入		島	4.0h		未着手								
	"OfferBox 資料ダウンロード画面
/company/material"		ENG1ST-1646	NTQ			仕掛中								
		実装		NTQ	21.0h	14.0h	完了	02/07	02/07	02/25	02/25				
		テスト仕様書作成		NTQ	32.0h	16.0h	完了	02/07	01/17	02/15	01/19				
		テスト仕様書レビュー		宗	4.0h	18.0h	完了	03/11	03/11	03/15	03/15				
		テスト仕様書FB対応		NTQ	4.0h	4.0h	完了	02/18	03/23	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649241234131269?thread_ts=1647330170.183129&cid=C02BYE052ES			
		機能テスト実施		NTQ	14.0h	14.0h	完了	03/02	02/25	03/07	03/11	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646980914436079			
		コードレビュー		島	16.0h	4.0h	完了	02/28	03/24	03/01	03/24				
		コードレビューFB対応		NTQ	6.0h	3.0h	完了	04/01	04/01	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649043482288519?thread_ts=1648123117.889139&cid=C02BYE052ES			
		FB対応確認		島	0.5h		未着手								
		キャッシュの設定確認		島	2.0h		未着手					https://iplug.slack.com/archives/C03752ZHNSD/p1648104024055879			
		dbのselect時のcache実装		三田	16.0h		未着手					"https://github.com/i-plug/offerbox/blob/master/fuel/app/bases/model/ofb.php#L90
をv2でも利用できるようにする"			
		dbのselect時のcache関連のSRE調整		三田	1.0h		未着手								
		cache対応コードレビュー		島	4.0h		未着手								
		受入		島	4.0h		未着手								
	"OfferBox 登録申込フォーム画面
/cregister"		ENG1ST-1686	NTQ			仕掛中								
		実装		NTQ	73.0h	44.5h	完了	02/07	02/07	02/14	03/10				
		テスト仕様書作成		NTQ	72.0h	40.0h	完了	02/15	02/07	02/15	02/15				
		テスト仕様書レビュー		宗・山下	4.0h	48.0h	完了	03/08	03/08	03/10	03/10				
		テスト仕様書FB対応		NTQ	12.0h	5.0h	完了	02/18	03/30	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649296333887299?thread_ts=1647330170.183129&cid=C02BYE052ES			
		テスト仕様書FB対応		NTQ	0.1h	0.1h	完了	04/12	04/12	04/12	04/12	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649745262005619?thread_ts=1647330170.183129&cid=C02BYE052ES			
		テスト仕様書FB対応確認		宗	4.0h	8.0h	完了	04/08	04/08	04/08	04/25	FB対応後の修正があったためNTQさん側に修正対応依頼中（4/20）			
		テスト仕様書FB対応（テスト仕様書レビュー№43）		NTQ	0.1h	0.1h	完了	04/25	04/25	04/25	04/25	FB対応後の修正を切り分け（4/25）			
		テスト仕様書FB対応確認（テスト仕様書レビュー№43）		宗	0.5h	0.5h	完了	04/25	04/25	04/25	04/25				
		機能テスト実施		NTQ	42.0h	38.0h	完了	02/28	03/11	03/01	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647393703161359			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	8.0h		未着手								
	"招待者のパスワード設定画面
/clogin/set_password/<token>"		ENG1ST-1691	NTQ			仕掛中								
		実装		NTQ	41.0h	36.5h	完了	02/08	02/08	02/14	02/14				
		テスト仕様書作成		NTQ	56.0h	30.0h	完了	02/11	02/11	02/21	03/09				
		テスト仕様書レビュー		宗	4.0h	10.0h	完了	03/28	03/28	03/29	03/29				
		機能テスト実施		NTQ	30.0h	38.0h	完了	03/22	03/22	03/31	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648705668465089			
		NTQ側単体テスト修正		NTQ	4.0h	3.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		コードレビュー		島	4.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	4.0h		未着手								
	"OfferBox 資料ダウンロード送信完了画面
/company/materialdone"		ENG1ST-1651	NTQ			仕掛中								
		実装		NTQ	21.0h	8.0h	完了	02/28	02/07	02/14	02/14				
		テスト仕様書作成		NTQ	32.0h	16.0h	完了	02/16	02/16	02/18	02/18				
		テスト仕様書レビュー		宗	4.0h	6.0h	完了	03/15	03/15	03/15	03/15				
		機能テスト実施		NTQ	14.0h	13.5h	完了	02/28	02/28	02/28	03/11	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646980926436989			
		コードレビュー		島	4.0h	4.0h	完了	02/28	03/25	03/01	03/25	https://iplug.slack.com/archives/C02BYE052ES/p1648196971911299			
		FB対応		NTQ	6.0h	5.0h	完了	04/01	04/01	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649067328873209?thread_ts=1648196971.911299&cid=C02BYE052ES			
		受入		島	8.0h		未着手								
	"採用計画 会いたい受信学生
/cfavorite/list#before"		ENG1ST-1746	NTQ	40.0h	40.0h	却下					"QnA82により、対応無し
 https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646013705341309"			
		実装		NTQ	16.0h	16.0h	却下	02/23	02/21	03/02		"QnA82により、対応無し
 https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646013705341309"			
		テスト仕様書作成		NTQ	4.0h	4.0h	却下	02/23		03/03					
		テスト仕様書レビュー		谷口	16.0h	16.0h	却下	03/04		03/07					
		テスト仕様書FB対応		NTQ	16.0h	16.0h	却下	03/08		03/08					
		機能テスト実施		NTQ	8.0h	8.0h	却下	03/14		03/15					
		レビュー		島	4.0h	4.0h	却下	03/16		03/17					
		FB対応		NTQ	8.0h	8.0h	却下	03/17		03/18					
		受入		島			却下	03/18		03/18					
		リリース準備		島			却下								
	"検討中リスト　非表示学生リスト画面
/cstudenthide"		ENG1ST-1756	NTQ			仕掛中								
		実装		NTQ	73.0h	81.0h	完了	02/15	02/07	02/22	02/22				
		テスト仕様書作成		NTQ	72.0h	80.0h	完了	02/07	02/07	02/23	03/11				
		テスト仕様書レビュー		宗	4.0h	16.0h	完了	03/16	03/16	03/17	03/17	FBなし			
		機能テスト実施		NTQ	42.0h	59.0h	完了	03/08	03/18	03/09	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648716122835389			
		NTQ側単体テスト修正		NTQ	4.0h	4.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	8.0h		未着手								
	"選考管理リスト　メッセージリスト
送信メッセージ画面
/cmessage/list/sent/1/50"		ENG1ST-1882	NTQ	40.0h		却下					/cmassage/lisy (ENG1ST-1999)と同一Controllerのため集約			
		実装		NTQ	24.0h		却下	02/15	02/15	02/22					
		テスト仕様書作成		NTQ	4.0h		却下	02/15	02/15	02/23					
		テスト仕様書レビュー		谷口	4.0h		却下	02/24		02/25					
		テスト仕様書FB対応		NTQ	16.0h		却下	02/28		02/28					
		機能テスト実施		NTQ	16.0h		却下	02/28		02/28					
		コードレビュー		島	4.0h		却下	03/08		03/09					
		FB対応		NTQ	4.0h		却下	03/09		03/10					
		受入		島	4.0h		却下	03/10		03/11					
		リリース準備		島			却下								
	"かんたん日程調整（開催前のイベント）学生に提案する
確認
/cevent/invite?event=20680"		ENG1ST-1883	NTQ			仕掛中								
		実装		NTQ	73.0h	80.0h	完了	02/15	02/15	02/22	03/15				
		テスト仕様書作成		NTQ	72.0h	81.0h	完了	02/15	02/15	02/23	03/11				
		テスト仕様書レビュー		山下	12.0h	12.0h	完了	02/24	03/18	02/25	03/22				
		テスト仕様書FB対応		NTQ	12.0h	12.0h	完了	03/23	03/23	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649046956595299			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施（ [/cevent/invite_send] への送信部分以外）		NTQ	42.0h	60.0h	完了	03/30	03/18	04/06	04/06	[/cevent/invite_send] への送信を行う部分がPOSTリクエストになっており、[/cevent/invite_send] がまだv1のため、CSRFチェックにひっかかってしまう。v1の改修を行うのではなく、作業効率の観点で[/cevent/invite_send] の開発完了後に、この部分の確認を行いたい。			
		CSRF部分の対応方法の提案		NTQ	2.0h	2.0h	完了	04/08	04/08	04/13	04/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649811334548219			
		CSRF対策の検討と提案		NTQ	3.0h	2.0h	完了	04/11	04/11	04/18	04/19	"以下で提案してくれたが、「v1とv2のギャップが何で、それをどのように解消するのか」という流れになっておらず、理解できないため、再度提案してもらうこととなっている。
https://iplug.slack.com/archives/C02BYE052ES/p1649811334548219

https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650362082942039?thread_ts=1649811334.548219&cid=C02BYE052ES"			
