	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
		リリース第1段に関する結合テスト仕様作成(シナリオテストの続き)		三田	16.0h	11.0h	完了	03/11	03/11	 3/15	03/15				
		結合テスト仕様書レビュー		島	4.0h	4.0h	完了	03/10	03/15	03/11	03/15				
		ENG1ST-2029　重複処理削除（OS代行企業でのログインの場合の契約状況判定チェック）　修正		島	1.5h	1.0h	完了	03/16	03/15	03/16	03/16	https://iplug.slack.com/archives/C036SEJ7EUT/p1647310967993549			
		ENG1ST-2029　コードレビュー		三田	4.0h	0.3h	完了		03/15		03/15				
		ENG1ST-2029　FB対応		島	4.0h	0.0h	完了	03/15	03/15	03/15	03/15				
		リリース対象外のもののリバート		三田	0.5h	0.5h	完了	03/07	03/07	03/07	03/07				
		結合テスト実施(シナリオ）		島	16.0h	8.0h	完了	03/16	03/16	03/17	03/17	"シナリオテスト hrefとか

4+4"			
		結合テスト実施(一括対応）		ニコラス	16.0h	6.0h	完了	03/16	03/16	03/17	03/17				
		結合テストのFB対応		三田	4.0h	13.0h	完了	03/16	03/17	03/17					
		結合テストのFB対応コードレビュー		島	1.0h	1.0h	完了	03/22	03/22	03/22	03/22				
		結合テストのFB対応コードレビュー　FB対応		三田	2.0h	0.3h	完了	03/22	03/22	03/22	03/22				
		結合テストのFB対応コードレビュー　FB対レビュー		島	2.0h	0.0h	完了	03/22	03/22	03/22	03/22				
		結合テスト後の受け入れ確認		島	4.0h	4.0h	完了	03/22	03/22	03/22	03/22	"一旦直列で　２週間のバッファをもたせています
初めの方のタスクなので　リスクを考慮して

最終日かつかつになるような確認でなく、2~3日バッファをもって確認できるアプローチはないか"			
		ZendeskSSO機能（設定変更）対応(CallbackURL変更）					保留	03/01	03/01	03/04	03/04	島メモ24h残			
		リリース手順の定点ぎめ			2.0h	2.0h	完了	02/22	02/22	02/22	02/22				
		リリース日決定		中矢	2.0h	2.0h	完了	03/15	3/11	03/18	03/18				
		関係各所への通知・確認・日程決定,SRE立ち会い依頼		三田	1.0h	1.0h	完了	03/17	03/11	03/17	03/14	"リリース時間：　5-8AM


https://iplug.slack.com/archives/C03753558GZ/p1647318416255599?thread_ts=1647313015.681589&cid=C03753558GZ"			
		リリースの状況に合わせたリリース手順書のUD		三田	4.0h	16.0h	完了	03/14	03/10	03/16	03/16	結合テスト仕様書優先			
		リリース手順書のレビュー		島	4.0h	2.0h	完了	03/22	03/22	03/23	03/22				
		リリース手順書のレビューFB対応		三田	4.0h	2.0h	完了	03/22	03/22		03/23				
		リリース手順書のレビューFB対応レビュー		島	4.0h	1.0h	完了	03/24	03/24	03/25	03/24				
		リリース準備		島			却下	リスケ		リスケ					
		不具合No.103 かんたんオファー作成ガイド(flash)　実装		猿渡	4.0h	5.0h	完了	03/23	03/23	03/23	03/23				
		不具合No.103 かんたんオファー作成ガイド(flash)　レビュー		三田	2.0h	0.3h	完了	03/23	03/23	03/23	03/23				
		不具合No.101* 届け出変更申請フォーム(権限)　実装		猿渡	4.0h	4.0h	完了	03/23	03/23	03/23	03/23				
		不具合No.101* 届け出変更申請フォーム(権限)　レビュー		三田	2.0h	0.0h	完了	03/23	03/23	03/23	03/23				
		不具合No.101  選考フェーズ(権限)　実装		猿渡	4.0h	4.0h	完了	03/23	03/23	03/23	03/23				
		不具合No.101  選考フェーズ(権限)　レビュー		三田	4.0h	0.0h	完了	03/23	03/23	03/23	03/23				
		不具合No,117 実装		島	1.0h	1.0h	完了	03/23	03/23	03/23	03/23				
		不具合No,117 レビュー		三田	0.3h	0.3h	完了	03/23	03/23	03/23	03/23				
		リリース		島	4.0h	2.0h	完了	03/28	03/28	03/28	03/28				
	リプレイスブランチ差分見る化			i-plug			完了								
		任意のブランチ間の重要なファイルの差分を抽出する　実装	ENG1ST-1980	井村	8.0h	8.0h	完了	01/31	01/31	02/25	02/21				
		他チームの重要なファイルの変更に気付きやすくする　実装	ENG1ST-1979	井村	8.0h	8.0h	完了	01/31	01/31	02/25	02/21				
